2 Server Threads,,,3 Server Threads,
Mean_Throughput,,,Mean_Throughput,
Num_Client_Threads, Mean_Throughput,,Num_Client_Threads,ÊMean_Throughput
2,1079.8,,2,972.497
3,1194.11,,3,919.103
4,1347.25,,4,1066.14
5,1285.86,,5,1016.31
6,1336.92,,6,1002.54
7,1072.09,,7,936.255
8,1248.3,,8,1061.32
,,,,
Mean_Throughput,,,,
Num_Client_Threads, 95th_Per,,Ê95th_Per,Ê95th_Per
2,3.33443,,2,3.33338
3,3.41101,,3,4.22844
4,3.34106,,4,3.46775
5,3.44677,,5,3.80288
6,4.05068,,6,4.55426
7,5.1403,,7,5.01102
8,4.60816,,8,3.87446
,,,,
4 Server Threads,,,,
Mean_Throughput,,,,
Num_Client_Threads, Mean_Throughput,,,
2,708.778,,,
3,778.128,,,
4,851.888,,,
5,839.145,,,
6,862.068,,,
7,934.234,,,
8,831.75,,,
,,,,
Mean_Throughput,,,,
Num_Client_Threads, 95th_Per,,,
2,3.65806,,,
3,4.02159,,,
4,4.41159,,,
5,4.35952,,,
6,3.77755,,,
7,4.27623,,,
8,5.00492,,,